system,num_performances,performances,num_configs,selected_configs,fold,train_cost,train_wcp_mean,train_wcp_max,test_wcp_mean,test_wcp_max,optimization_target,input_to_config_map
xz,1,['size'],2,"[0, 24]",4,0.0,0.0,0.0,1.4214387340071614e-05,0.00017057264808085937,both,"{'Ecoli': 24, 'a': 24, 'aaa': 24, 'alice29': 24, 'alphabet': 24, 'asyoulik': 24, 'bib': 24, 'book1': 24, 'book2': 24, 'dickens': 24, 'fieldsc': 24, 'geo': 24, 'kennedy': 24, 'lcet10': 24, 'mozilla': 24, 'nci': 24, 'obj1': 24, 'osdb': 24, 'paper1': 24, 'paper2': 24, 'paper3': 24, 'paper5': 24, 'paper6': 24, 'pic': 24, 'plrabn12': 24, 'progc': 24, 'progl': 24, 'progp': 24, 'ptt5': 24, 'random': 24, 'samba': 24, 'sao': 24, 'webster': 24, 'world192': 24, 'x-ray': 24, 'xargs': 24}"
xz,2,"['size', 'time']",1,[21],1,9830252312.0,0.7008638955127989,0.9830069124423962,0.6813606962629416,1.0,both,"{'Ecoli': 21, 'a': 21, 'aaa': 21, 'asyoulik': 21, 'bib': 21, 'bible': 21, 'book2': 21, 'cp': 21, 'dickens': 21, 'geo': 21, 'grammar': 21, 'kennedy': 21, 'lcet10': 21, 'mozilla': 21, 'mr': 21, 'news': 21, 'obj1': 21, 'obj2': 21, 'ooffice': 21, 'paper4': 21, 'paper5': 21, 'paper6': 21, 'pic': 21, 'plrabn12': 21, 'progc': 21, 'progl': 21, 'progp': 21, 'ptt5': 21, 'reymont': 21, 'samba': 21, 'sum': 21, 'trans': 21, 'world192': 21, 'x-ray': 21, 'xargs': 21, 'xml': 21}"
xz,2,"['size', 'time']",2,"[14, 21]",1,9830240415.0,0.6678130880617202,0.9830069124423962,0.6374735863755921,0.9595263515480928,both,"{'Ecoli': 21, 'a': 21, 'aaa': 14, 'asyoulik': 21, 'bib': 21, 'bible': 14, 'book2': 21, 'cp': 21, 'dickens': 21, 'geo': 21, 'grammar': 14, 'kennedy': 21, 'lcet10': 14, 'mozilla': 14, 'mr': 14, 'news': 14, 'obj1': 14, 'obj2': 21, 'ooffice': 14, 'paper4': 21, 'paper5': 14, 'paper6': 21, 'pic': 14, 'plrabn12': 21, 'progc': 21, 'progl': 14, 'progp': 14, 'ptt5': 21, 'reymont': 14, 'samba': 14, 'sum': 14, 'trans': 14, 'world192': 21, 'x-ray': 21, 'xargs': 21, 'xml': 14}"
xz,2,"['size', 'time']",3,"[13, 14, 21]",1,9830234552.0,0.6515277860621325,0.9830069124423962,0.6371030623331427,0.9578577699736611,both,"{'Ecoli': 21, 'a': 13, 'aaa': 14, 'asyoulik': 21, 'bib': 21, 'bible': 14, 'book2': 21, 'cp': 21, 'dickens': 21, 'geo': 21, 'grammar': 14, 'kennedy': 21, 'lcet10': 14, 'mozilla': 14, 'mr': 14, 'news': 14, 'obj1': 14, 'obj2': 21, 'ooffice': 14, 'paper4': 21, 'paper5': 14, 'paper6': 21, 'pic': 14, 'plrabn12': 21, 'progc': 21, 'progl': 14, 'progp': 14, 'ptt5': 21, 'reymont': 14, 'samba': 14, 'sum': 14, 'trans': 14, 'world192': 21, 'x-ray': 21, 'xargs': 13, 'xml': 14}"
xz,2,"['size', 'time']",4,"[7, 13, 14, 21]",1,9830229021.0,0.6361682302243195,0.9830069124423962,0.5836623194882596,0.9578577699736611,both,"{'Ecoli': 21, 'a': 13, 'aaa': 14, 'asyoulik': 21, 'bib': 21, 'bible': 7, 'book2': 21, 'cp': 21, 'dickens': 7, 'geo': 21, 'grammar': 14, 'kennedy': 7, 'lcet10': 14, 'mozilla': 7, 'mr': 14, 'news': 14, 'obj1': 14, 'obj2': 21, 'ooffice': 14, 'paper4': 21, 'paper5': 14, 'paper6': 21, 'pic': 14, 'plrabn12': 21, 'progc': 21, 'progl': 14, 'progp': 14, 'ptt5': 21, 'reymont': 7, 'samba': 7, 'sum': 14, 'trans': 14, 'world192': 21, 'x-ray': 21, 'xargs': 13, 'xml': 14}"
xz,2,"['size', 'time']",5,"[6, 7, 13, 14, 21]",1,9830225248.0,0.6256862291891954,0.9830069124423962,0.5752935988783411,0.9484928299678079,both,"{'Ecoli': 21, 'a': 13, 'aaa': 14, 'asyoulik': 6, 'bib': 21, 'bible': 6, 'book2': 21, 'cp': 21, 'dickens': 7, 'geo': 6, 'grammar': 14, 'kennedy': 7, 'lcet10': 6, 'mozilla': 7, 'mr': 14, 'news': 6, 'obj1': 14, 'obj2': 21, 'ooffice': 14, 'paper4': 21, 'paper5': 14, 'paper6': 21, 'pic': 14, 'plrabn12': 21, 'progc': 21, 'progl': 14, 'progp': 6, 'ptt5': 21, 'reymont': 7, 'samba': 7, 'sum': 14, 'trans': 14, 'world192': 6, 'x-ray': 21, 'xargs': 6, 'xml': 14}"
xz,2,"['size', 'time']",6,"[6, 7, 11, 13, 14, 21]",1,9830221837.0,0.6162201358712722,0.9830069124423962,0.568728762347782,0.9484928299678079,both,"{'Ecoli': 21, 'a': 13, 'aaa': 14, 'asyoulik': 11, 'bib': 21, 'bible': 6, 'book2': 21, 'cp': 21, 'dickens': 11, 'geo': 11, 'grammar': 14, 'kennedy': 7, 'lcet10': 6, 'mozilla': 7, 'mr': 14, 'news': 6, 'obj1': 14, 'obj2': 11, 'ooffice': 14, 'paper4': 21, 'paper5': 14, 'paper6': 11, 'pic': 14, 'plrabn12': 11, 'progc': 11, 'progl': 11, 'progp': 6, 'ptt5': 11, 'reymont': 7, 'samba': 11, 'sum': 14, 'trans': 14, 'world192': 11, 'x-ray': 21, 'xargs': 6, 'xml': 14}"
xz,2,"['size', 'time']",7,"[6, 7, 11, 13, 14, 21, 25]",1,9830219110.0,0.6086443782955147,0.9830069124423962,0.568728762347782,0.9484928299678079,both,"{'Ecoli': 21, 'a': 13, 'aaa': 25, 'asyoulik': 11, 'bib': 21, 'bible': 6, 'book2': 21, 'cp': 21, 'dickens': 11, 'geo': 11, 'grammar': 14, 'kennedy': 7, 'lcet10': 6, 'mozilla': 7, 'mr': 14, 'news': 6, 'obj1': 14, 'obj2': 11, 'ooffice': 14, 'paper4': 21, 'paper5': 14, 'paper6': 11, 'pic': 14, 'plrabn12': 11, 'progc': 11, 'progl': 11, 'progp': 6, 'ptt5': 11, 'reymont': 7, 'samba': 11, 'sum': 14, 'trans': 14, 'world192': 11, 'x-ray': 21, 'xargs': 6, 'xml': 14}"
xz,2,"['size', 'time']",8,"[3, 6, 11, 13, 14, 17, 21, 25]",1,9830216934.0,0.6025921260187366,0.9830069124423962,0.5628877249442222,0.9484928299678079,both,"{'Ecoli': 21, 'a': 13, 'aaa': 25, 'asyoulik': 11, 'bib': 21, 'bible': 6, 'book2': 17, 'cp': 21, 'dickens': 3, 'geo': 11, 'grammar': 14, 'kennedy': 17, 'lcet10': 6, 'mozilla': 3, 'mr': 3, 'news': 6, 'obj1': 14, 'obj2': 11, 'ooffice': 14, 'paper4': 21, 'paper5': 17, 'paper6': 11, 'pic': 14, 'plrabn12': 11, 'progc': 11, 'progl': 11, 'progp': 17, 'ptt5': 11, 'reymont': 11, 'samba': 3, 'sum': 14, 'trans': 14, 'world192': 11, 'x-ray': 17, 'xargs': 6, 'xml': 17}"
xz,2,"['size', 'time']",9,"[3, 6, 11, 13, 14, 17, 18, 21, 25]",1,9830216262.0,0.6007273050102243,0.9830069124423962,0.5628877249442222,0.9484928299678079,both,"{'Ecoli': 21, 'a': 13, 'aaa': 25, 'asyoulik': 11, 'bib': 18, 'bible': 6, 'book2': 17, 'cp': 21, 'dickens': 3, 'geo': 11, 'grammar': 14, 'kennedy': 17, 'lcet10': 6, 'mozilla': 3, 'mr': 3, 'news': 6, 'obj1': 18, 'obj2': 11, 'ooffice': 14, 'paper4': 18, 'paper5': 17, 'paper6': 11, 'pic': 14, 'plrabn12': 11, 'progc': 11, 'progl': 11, 'progp': 17, 'ptt5': 11, 'reymont': 11, 'samba': 18, 'sum': 14, 'trans': 18, 'world192': 11, 'x-ray': 17, 'xargs': 6, 'xml': 17}"
