system,split,configs,num_performances,performances,sdc_avg,sdc_std,best_avg,best_std,average_avg,average_std,overall_avg,overall_std,metric_avg,metric_std,common_avg,common_std,random_avg,random_std
gcc,0,0,1,exec,0.09378324162915595,0.14700441261963712,0.0,0.0,0.3239130630201937,0.039781802595465675,0.2721845381079008,0.14166375767814549,0.2721845381079008,0.14166375767814549,0.2683119786805039,0.1340145011748584,0.18066951329210118,0.16231989875205793
gcc,1,0,1,exec,0.08560908456475783,0.15044629974650212,0.0,0.0,0.31966762178929087,0.029076140066816088,0.042329068874215774,0.03921271166038464,0.042329068874215774,0.03921271166038464,0.3759029681799987,0.14801287163743138,0.31649328808363675,0.22945455518574598
gcc,2,0,1,exec,0.06430979219376787,0.13105757567690063,0.0,0.0,0.37027576180885563,0.07563460378394118,0.3049579864287332,0.04623427760382971,0.3049579864287332,0.04623427760382971,0.29168268988716983,0.03274239835866244,0.3516226642952586,0.35563063122322036
gcc,3,0,1,exec,0.20484445303722407,0.2282596358548327,0.0,0.0,0.4105496514964539,0.0977209525712154,0.4863335381004067,0.2648303965819352,0.4863335381004067,0.2648303965819352,0.4940781978101495,0.2717418683935925,0.4944019338637401,0.3457523765930938
gcc,4,0,1,exec,0.06186650940099366,0.11145359548806572,0.0,0.0,0.29326958853036983,0.0465345296411654,0.17949703106166864,0.13074826203604617,0.17949703106166864,0.13074826203604617,0.1733823038949934,0.12917997667182243,0.23653934090981868,0.2042583093213003
gcc,0,0,1,ctime,0.11205962301868226,0.07378687886890634,0.0,0.0,0.38937773527455494,0.06763569950118904,0.5705441382043069,0.13492950881737154,0.5705441382043069,0.13492950881737154,0.4568906718985131,0.09516088050340121,0.37229549897535064,0.24370772384857722
gcc,1,0,1,ctime,0.14741097257726155,0.09169043699940461,0.0,0.0,0.42056103670195943,0.07412085704737262,0.6120488276206254,0.11012733633428115,0.6120488276206254,0.11012733633428115,0.56820102657548,0.18460514850311088,0.4250361551746761,0.27162465806567776
gcc,2,0,1,ctime,0.1413742799508876,0.09478332564875619,0.0,0.0,0.41825095866223905,0.06180709425054693,0.4177691728035344,0.12022770291367278,0.4177691728035344,0.12022770291367278,0.492429043347938,0.11247565898208163,0.40439937277131627,0.29245243455381276
gcc,3,0,1,ctime,0.11234272159317633,0.06552603363190622,0.0,0.0,0.39496267574243016,0.040259409275051034,0.4195460691898,0.08843180935229124,0.4195460691898,0.08843180935229124,0.4320613904205449,0.09940270404401842,0.36290743508142986,0.1843502653240753
gcc,4,0,1,ctime,0.1302753126260589,0.08891736367325058,0.0,0.0,0.40069450333559475,0.0466506590112292,0.4875217890889532,0.07359904134808157,0.4875217890889532,0.07359904134808157,0.449777280672803,0.05713079195151567,0.3828846825115482,0.22012488364031907
gcc,0,0,1,size,0.0029953982704335313,0.006061209110022867,0.0,0.0,0.17256125717996407,0.044082327641027035,0.0029953982704335313,0.006061209110022867,0.0029953982704335313,0.006061209110022867,0.0029953982704335313,0.006061209110022867,0.2209934422675262,0.346927801500143
