system,split,configs,num_performances,performances,tree_depth,tree_leaves,sdc_num_configs,sdc_avg,sdc_std,best_avg,best_std,best_num_configs,average_avg,average_std,overall_avg,overall_std,metric_avg,metric_std
gcc,0,0,1,exec,1.6,107,0.175,0.4601446991229318,0.5598989276632627,0.0,0.0,0.0625,1.0511524506383794,0.14478232117698583,0.048131489314412655,0.0640485667749392,0.048131489314412655,0.0640485667749392
gcc,1,0,1,exec,1.8,109,0.1375,0.38254051325536115,0.5808133236304298,0.0,0.0,0.0625,1.0422652408554487,0.08884245564468914,0.0556440542674375,0.10797486772069939,0.0556440542674375,0.10797486772069939
gcc,2,0,1,exec,1.8,118,0.175,0.015416525689051119,0.02569198510152786,0.0,0.0,0.05,1.163502262512069,0.20065237318580062,0.029243496418277816,0.025059110989745594,0.029243496418277816,0.025059110989745594
gcc,3,0,1,exec,1.8,124,0.1875,0.46494524990436004,0.7626735794578539,0.0,0.0,0.05,1.376973127918419,0.21716159628853907,0.2170892956831291,0.2728910156203941,0.037583502907469236,0.04423489511949714
gcc,4,0,1,exec,2.0,115,0.1375,0.3881183700496521,0.6339802083088082,0.0,0.0,0.05,1.0059323851236504,0.21096427834345746,0.37532814079364973,0.7503425857615473,0.37532814079364973,0.7503425857615473
gcc,0,0,1,ctime,1.6,114,0.15,0.2802693055499419,0.22463683041037846,0.0,0.0,0.0625,1.5214830076913355,0.22763840318512873,0.2492799854833183,0.2567902342571101,0.2492799854833183,0.2567902342571101
gcc,1,0,1,ctime,1.6,117,0.15,0.43443490656513556,0.14718484232521034,0.0,0.0,0.0625,1.6370934815077003,0.19872590537585078,0.3240301668212614,0.32016060235317845,0.3240301668212614,0.32016060235317845
gcc,2,0,1,ctime,1.8,111,0.1375,0.5838014356022369,0.23102026778265203,0.0,0.0,0.0625,1.6135110043959309,0.1631344327298315,0.3743277377028384,0.3340475503713399,0.3743277377028384,0.3340475503713399
gcc,3,0,1,ctime,1.6,111,0.15,0.6455962550026519,0.3565695071136815,0.0,0.0,0.0625,1.6084340503505428,0.20737590438394646,0.34692779412948316,0.33604422878709533,0.34692779412948316,0.33604422878709533
gcc,4,0,1,ctime,1.6,110,0.15,0.2644120310571039,0.06141400734638086,0.0,0.0,0.05,1.532367546455648,0.13772613021402283,0.26925008677138196,0.17034999469368747,0.26925008677138196,0.17034999469368747
gcc,0,0,1,size,0.8,27,0.0375,0.008260379288262842,0.015937937394116072,0.0,0.0,0.025,0.5895172735963108,0.07125066248557332,0.008260379288262842,0.015937937394116072,0.008260379288262842,0.015937937394116072
gcc,1,0,1,size,0.6,31,0.0375,0.005315953766436787,0.011886833986998696,0.0,0.0,0.025,0.6392426293496352,0.029726991429626266,0.005315953766436787,0.011886833986998696,0.005315953766436787,0.011886833986998696
gcc,2,0,1,size,1.2,43,0.0375,0.0,0.0,0.0,0.0,0.0125,0.6411032088436989,0.03008959829909331,0.0,0.0,0.0,0.0
gcc,3,0,1,size,1.0,35,0.025,0.18046857420596868,0.4035399997270111,0.0,0.0,0.025,0.7051608432116453,0.31697645384032874,0.18046857420596868,0.4035399997270111,0.0,0.0
gcc,4,0,1,size,0.6,35,0.0375,0.0,0.0,0.0,0.0,0.0125,0.5995724171633888,0.07552821891650471,0.0,0.0,0.0,0.0
gcc,0,0,1,exec,1.6,107,0.175,0.4601446991229318,0.5598989276632627,0.0,0.0,0.0625,1.0511524506383794,0.14478232117698583,0.048131489314412655,0.0640485667749392,0.048131489314412655,0.0640485667749392
gcc,1,0,1,exec,1.8,109,0.1375,0.38254051325536115,0.5808133236304298,0.0,0.0,0.0625,1.0422652408554487,0.08884245564468914,0.0556440542674375,0.10797486772069939,0.0556440542674375,0.10797486772069939
gcc,2,0,1,exec,1.8,118,0.175,0.015416525689051119,0.02569198510152786,0.0,0.0,0.05,1.163502262512069,0.20065237318580062,0.029243496418277816,0.025059110989745594,0.029243496418277816,0.025059110989745594
gcc,3,0,1,exec,1.8,124,0.1875,0.46494524990436004,0.7626735794578539,0.0,0.0,0.05,1.376973127918419,0.21716159628853907,0.2170892956831291,0.2728910156203941,0.037583502907469236,0.04423489511949714
gcc,4,0,1,exec,2.0,115,0.1375,0.3881183700496521,0.6339802083088082,0.0,0.0,0.05,1.0059323851236504,0.21096427834345746,0.37532814079364973,0.7503425857615473,0.37532814079364973,0.7503425857615473
gcc,0,0,2,exec-ctime,1.4,105,0.1375,0.15437146388615483,0.1306679187025633,0.0,0.0,0.075,1.3739445895317004,0.17537938613124018,0.050300723731589586,0.06053402476615683,1.7360815538191472,0.23940407815784637
gcc,1,0,2,exec-ctime,1.6,111,0.1375,0.4892414842825799,0.8513037126873652,0.0,0.0,0.0625,1.6341776916363682,0.09659546749180487,0.19700350541980316,0.20052250159418336,1.9362426749752921,0.3015310211591447
gcc,2,0,2,exec-ctime,1.4,108,0.1375,0.4968073083203259,0.6697734829719697,0.0,0.0,0.05,1.4606801080031506,0.15513906280239745,0.17627527789619363,0.3105559519732036,1.7053361417104014,0.5342961316921455
gcc,3,0,2,exec-ctime,1.6,112,0.15,0.6788770571770015,0.5719115561493949,0.0,0.0,0.0375,1.4503974387949945,0.15339822478467594,0.11257429970740396,0.07094507538844405,1.4285446006292393,0.4070794552836725
gcc,4,0,2,exec-ctime,1.6,118,0.125,0.27823365802861133,0.3722390090140338,0.0,0.0,0.0625,1.462397898881561,0.19206778116103654,0.3099435453139573,0.4112159885800374,1.81855506251032,0.29591716093489717
gcc,0,0,3,exec-ctime-size,2.2,104,0.125,0.6041224551901715,1.2493952870973752,0.0,0.0,0.075,1.3633176811186642,0.13378756096784386,0.07314529329024722,0.053953758930591435,1.2902792850177391,0.28462183078844794
gcc,1,0,3,exec-ctime-size,1.6,109,0.1125,0.38558108979100025,0.4186442787484946,0.0,0.0,0.05,1.415504037659748,0.07113314828506763,0.10859628350785284,0.1148134740548422,1.4634860715021527,0.34295085124019514
gcc,2,0,3,exec-ctime-size,1.6,99,0.1375,0.3367906847263599,0.23259775968712254,0.0,0.0,0.0375,1.451005401313552,0.0371778561678882,0.15471604776943101,0.13017320063656762,1.363828615659576,0.2947103616849368
gcc,3,0,3,exec-ctime-size,1.8,105,0.125,0.5121108788470778,0.9803576686490728,0.0,0.0,0.05,1.4194068384104361,0.11079674858733513,0.07287528440516187,0.043039476590886416,1.0627484965582992,0.18578933953032112
gcc,4,0,3,exec-ctime-size,1.6,100,0.1125,0.2211178732955697,0.1777521230509161,0.0,0.0,0.0625,1.3517075838343615,0.13258408031584315,0.1503209336931643,0.1451184922017139,1.2762722250371434,0.3240211093187387
imagemagick,0,0,1,size,0.29850746268656714,520,0.03,0.006212219703663649,0.04317079375557962,0.0,0.0,0.03,1.5059227668909372,0.24845754656431326,0.0029652268529521313,0.017486195516060243,0.0029652268529521313,0.017486195516060243
imagemagick,1,0,1,size,0.4696969696969697,579,0.03,0.004284560559305542,0.029620392522347036,0.0,0.0,0.03,1.5369186203054346,0.20957381954177443,0.002421972637803842,0.014760770404075486,0.002421972637803842,0.014760770404075486
imagemagick,2,0,1,size,0.2903225806451613,507,0.03,0.0067612271921648325,0.037471628667197304,0.0,0.0,0.03,1.5125197613752368,0.22961684029098434,0.006991736255242771,0.0375714935656628,0.006991736255242771,0.0375714935656628
imagemagick,3,0,1,size,0.38095238095238093,608,0.03,0.00365577481012223,0.030703643034563438,0.0,0.0,0.03,1.496097938702768,0.23194238248568366,0.0018468937253039485,0.017176109513890987,0.0018468937253039485,0.017176109513890987
imagemagick,4,0,1,size,0.36065573770491804,563,0.03,0.008208903702203906,0.04758288368579523,0.0,0.0,0.03,1.4956250722058266,0.24195722302072528,0.0065425559340354465,0.037771006073164075,0.0065425559340354465,0.037771006073164075
imagemagick,0,0,1,time,0.4626865671641791,3090,0.23,0.03643684865194237,0.10168421494416581,0.0,0.0,0.2,1.2236303028786353,0.07933553887081511,0.033810724808763216,0.13771149904615693,0.033810724808763216,0.13771149904615693
