system,num_performances,performances,num_configs,selected_configs,fold,train_cost,train_wcp_mean,train_wcp_max,test_wcp_mean,test_wcp_max,optimization_target,input_to_config_map
sqlite,1,['q8'],1,[30],1,833043088.0,0.03989943084928946,0.08333333333333334,0.04380570914192675,0.08239700374531839,both,"{'0.01': 30, '0.02': 30, '0.03': 30, '0.04': 30, '0.06': 30, '0.07': 30, '0.08': 30, '0.09': 30, '0.14': 30, '0.15': 30, '0.16': 30, '0.18': 30, '0.21': 30, '0.22': 30, '0.23': 30, '0.24': 30, '0.25': 30, '0.26': 30, '0.29': 30, '0.3': 30, '0.31': 30, '0.33': 30, '0.34': 30, '0.35': 30, '0.36': 30, '0.38': 30, '0.39': 30, '0.4': 30, '0.41': 30, '0.42': 30, '0.43': 30, '0.44': 30, '0.45': 30, '0.47': 30, '0.48': 30, '0.49': 30, '0.5': 30, '0.51': 30, '0.53': 30, '0.54': 30, '0.55': 30, '0.58': 30, '0.59': 30, '0.6': 30, '0.61': 30, '0.62': 30, '0.63': 30, '0.64': 30, '0.68': 30, '0.69': 30, '0.71': 30, '0.72': 30, '0.73': 30, '0.75': 30, '0.76': 30, '0.77': 30, '0.78': 30, '0.8': 30, '0.81': 30, '0.82': 30, '0.84': 30, '0.85': 30, '0.86': 30, '0.87': 30, '0.88': 30, '0.89': 30, '0.9': 30, '0.91': 30, '0.92': 30, '0.93': 30, '0.96': 30, '0.97': 30, '1.1': 30, '1.3': 30, '1.4': 30, '1.5': 30, '1.6': 30, '1.7': 30, '1.8': 30, '1.9': 30, '2.1': 30, '2.2': 30, '2.4': 30, '2.5': 30, '2.7': 30, '2.8': 30, '2.9': 30, '3.2': 30, '3.4': 30, '3.5': 30, '3.6': 30, '3.7': 30, '4.1': 30, '4.2': 30, '4.3': 30, '4.4': 30, '4.5': 30, '4.6': 30, '4.9': 30, '5.1': 30, '5.2': 30, '5.3': 30, '5.4': 30, '5.5': 30, '5.6': 30, '5.7': 30, '5.8': 30, '5.9': 30}"
sqlite,1,['q8'],2,"[8, 28]",1,422004690.0,0.004347397115691419,0.042151162790697666,0.002685204228056893,0.019138755980861216,both,"{'0.01': 8, '0.02': 8, '0.03': 8, '0.04': 8, '0.06': 8, '0.07': 8, '0.08': 8, '0.09': 8, '0.14': 8, '0.15': 8, '0.16': 8, '0.18': 8, '0.21': 8, '0.22': 8, '0.23': 8, '0.24': 8, '0.25': 8, '0.26': 8, '0.29': 8, '0.3': 8, '0.31': 8, '0.33': 8, '0.34': 8, '0.35': 8, '0.36': 8, '0.38': 8, '0.39': 8, '0.4': 8, '0.41': 8, '0.42': 8, '0.43': 8, '0.44': 8, '0.45': 8, '0.47': 8, '0.48': 8, '0.49': 8, '0.5': 8, '0.51': 8, '0.53': 8, '0.54': 8, '0.55': 8, '0.58': 8, '0.59': 8, '0.6': 8, '0.61': 8, '0.62': 8, '0.63': 8, '0.64': 8, '0.68': 8, '0.69': 8, '0.71': 8, '0.72': 8, '0.73': 8, '0.75': 8, '0.76': 8, '0.77': 8, '0.78': 8, '0.8': 8, '0.81': 8, '0.82': 8, '0.84': 8, '0.85': 8, '0.86': 8, '0.87': 8, '0.88': 8, '0.89': 8, '0.9': 8, '0.91': 8, '0.92': 8, '0.93': 8, '0.96': 8, '0.97': 8, '1.1': 8, '1.3': 8, '1.4': 8, '1.5': 8, '1.6': 8, '1.7': 8, '1.8': 8, '1.9': 8, '2.1': 28, '2.2': 28, '2.4': 28, '2.5': 28, '2.7': 28, '2.8': 28, '2.9': 28, '3.2': 28, '3.4': 28, '3.5': 28, '3.6': 28, '3.7': 28, '4.1': 28, '4.2': 28, '4.3': 28, '4.4': 28, '4.5': 28, '4.6': 28, '4.9': 28, '5.1': 28, '5.2': 28, '5.3': 28, '5.4': 28, '5.5': 28, '5.6': 28, '5.7': 28, '5.8': 28, '5.9': 28}"
sqlite,1,['q8'],3,"[6, 28, 42]",1,100001841.0,0.0017068920678617488,0.009996001599360219,0.0035912410166352585,0.02354048964218453,both,"{'0.01': 42, '0.02': 6, '0.03': 42, '0.04': 6, '0.06': 42, '0.07': 42, '0.08': 42, '0.09': 42, '0.14': 6, '0.15': 6, '0.16': 6, '0.18': 42, '0.21': 42, '0.22': 6, '0.23': 42, '0.24': 6, '0.25': 42, '0.26': 42, '0.29': 42, '0.3': 6, '0.31': 42, '0.33': 6, '0.34': 6, '0.35': 6, '0.36': 6, '0.38': 42, '0.39': 42, '0.4': 6, '0.41': 6, '0.42': 6, '0.43': 6, '0.44': 42, '0.45': 6, '0.47': 6, '0.48': 42, '0.49': 42, '0.5': 42, '0.51': 6, '0.53': 6, '0.54': 42, '0.55': 6, '0.58': 6, '0.59': 42, '0.6': 42, '0.61': 42, '0.62': 6, '0.63': 42, '0.64': 6, '0.68': 6, '0.69': 42, '0.71': 6, '0.72': 6, '0.73': 6, '0.75': 6, '0.76': 42, '0.77': 42, '0.78': 6, '0.8': 6, '0.81': 6, '0.82': 6, '0.84': 6, '0.85': 42, '0.86': 42, '0.87': 42, '0.88': 42, '0.89': 42, '0.9': 42, '0.91': 6, '0.92': 42, '0.93': 42, '0.96': 42, '0.97': 42, '1.1': 6, '1.3': 6, '1.4': 6, '1.5': 42, '1.6': 6, '1.7': 42, '1.8': 6, '1.9': 6, '2.1': 28, '2.2': 28, '2.4': 28, '2.5': 28, '2.7': 28, '2.8': 28, '2.9': 28, '3.2': 28, '3.4': 28, '3.5': 28, '3.6': 28, '3.7': 28, '4.1': 28, '4.2': 28, '4.3': 28, '4.4': 28, '4.5': 28, '4.6': 28, '4.9': 28, '5.1': 28, '5.2': 28, '5.3': 28, '5.4': 28, '5.5': 28, '5.6': 28, '5.7': 28, '5.8': 28, '5.9': 28}"
sqlite,1,['q8'],4,"[1, 6, 23, 42]",1,82001217.0,0.0011285085674378826,0.008221225710014927,0.0021721678200362204,0.02354048964218453,both,"{'0.01': 42, '0.02': 6, '0.03': 42, '0.04': 6, '0.06': 23, '0.07': 23, '0.08': 42, '0.09': 42, '0.14': 6, '0.15': 6, '0.16': 23, '0.18': 23, '0.21': 42, '0.22': 6, '0.23': 23, '0.24': 6, '0.25': 42, '0.26': 42, '0.29': 23, '0.3': 6, '0.31': 23, '0.33': 23, '0.34': 6, '0.35': 6, '0.36': 6, '0.38': 42, '0.39': 42, '0.4': 23, '0.41': 6, '0.42': 23, '0.43': 6, '0.44': 42, '0.45': 6, '0.47': 6, '0.48': 23, '0.49': 23, '0.5': 42, '0.51': 23, '0.53': 6, '0.54': 42, '0.55': 6, '0.58': 6, '0.59': 23, '0.6': 42, '0.61': 23, '0.62': 6, '0.63': 42, '0.64': 23, '0.68': 6, '0.69': 42, '0.71': 6, '0.72': 6, '0.73': 6, '0.75': 6, '0.76': 42, '0.77': 42, '0.78': 6, '0.8': 6, '0.81': 23, '0.82': 6, '0.84': 6, '0.85': 23, '0.86': 42, '0.87': 42, '0.88': 42, '0.89': 42, '0.9': 42, '0.91': 6, '0.92': 23, '0.93': 23, '0.96': 42, '0.97': 23, '1.1': 6, '1.3': 23, '1.4': 23, '1.5': 42, '1.6': 6, '1.7': 42, '1.8': 6, '1.9': 6, '2.1': 1, '2.2': 1, '2.4': 1, '2.5': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.2': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
sqlite,1,['q8'],5,"[1, 5, 6, 33, 48]",1,46000932.0,0.000864004096267939,0.004577822990844339,0.0015935610557643387,0.016007532956685517,both,"{'0.01': 5, '0.02': 6, '0.03': 33, '0.04': 5, '0.06': 33, '0.07': 5, '0.08': 5, '0.09': 5, '0.14': 48, '0.15': 6, '0.16': 6, '0.18': 5, '0.21': 48, '0.22': 6, '0.23': 33, '0.24': 48, '0.25': 48, '0.26': 5, '0.29': 33, '0.3': 6, '0.31': 48, '0.33': 6, '0.34': 6, '0.35': 6, '0.36': 5, '0.38': 6, '0.39': 33, '0.4': 5, '0.41': 6, '0.42': 48, '0.43': 48, '0.44': 48, '0.45': 33, '0.47': 6, '0.48': 5, '0.49': 48, '0.5': 5, '0.51': 5, '0.53': 6, '0.54': 6, '0.55': 48, '0.58': 6, '0.59': 6, '0.6': 5, '0.61': 33, '0.62': 5, '0.63': 48, '0.64': 48, '0.68': 48, '0.69': 5, '0.71': 6, '0.72': 6, '0.73': 33, '0.75': 33, '0.76': 5, '0.77': 33, '0.78': 6, '0.8': 6, '0.81': 48, '0.82': 5, '0.84': 5, '0.85': 6, '0.86': 5, '0.87': 6, '0.88': 33, '0.89': 6, '0.9': 33, '0.91': 5, '0.92': 33, '0.93': 33, '0.96': 6, '0.97': 5, '1.1': 6, '1.3': 33, '1.4': 33, '1.5': 5, '1.6': 5, '1.7': 48, '1.8': 6, '1.9': 48, '2.1': 1, '2.2': 1, '2.4': 1, '2.5': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.2': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
sqlite,1,['q8'],6,"[1, 5, 6, 33, 42, 48]",1,42000605.0,0.0005608357662220138,0.004235176880916822,0.0015091845698362327,0.016007532956685517,both,"{'0.01': 5, '0.02': 6, '0.03': 33, '0.04': 5, '0.06': 33, '0.07': 5, '0.08': 5, '0.09': 5, '0.14': 48, '0.15': 6, '0.16': 6, '0.18': 5, '0.21': 42, '0.22': 6, '0.23': 33, '0.24': 48, '0.25': 42, '0.26': 42, '0.29': 33, '0.3': 6, '0.31': 48, '0.33': 6, '0.34': 6, '0.35': 6, '0.36': 5, '0.38': 42, '0.39': 42, '0.4': 5, '0.41': 6, '0.42': 48, '0.43': 48, '0.44': 48, '0.45': 33, '0.47': 6, '0.48': 42, '0.49': 48, '0.5': 42, '0.51': 5, '0.53': 6, '0.54': 42, '0.55': 48, '0.58': 6, '0.59': 42, '0.6': 5, '0.61': 33, '0.62': 5, '0.63': 42, '0.64': 48, '0.68': 48, '0.69': 42, '0.71': 6, '0.72': 6, '0.73': 33, '0.75': 33, '0.76': 5, '0.77': 42, '0.78': 6, '0.8': 6, '0.81': 48, '0.82': 5, '0.84': 5, '0.85': 42, '0.86': 42, '0.87': 42, '0.88': 33, '0.89': 42, '0.9': 33, '0.91': 5, '0.92': 42, '0.93': 33, '0.96': 42, '0.97': 5, '1.1': 6, '1.3': 33, '1.4': 33, '1.5': 5, '1.6': 5, '1.7': 48, '1.8': 6, '1.9': 48, '2.1': 1, '2.2': 1, '2.4': 1, '2.5': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.2': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
sqlite,1,['q8'],7,"[1, 5, 6, 23, 26, 33, 48]",1,35000450.0,0.00042171718670458474,0.003472222222222226,0.0010369777462603579,0.016007532956685517,both,"{'0.01': 5, '0.02': 6, '0.03': 26, '0.04': 5, '0.06': 33, '0.07': 23, '0.08': 5, '0.09': 5, '0.14': 48, '0.15': 6, '0.16': 23, '0.18': 23, '0.21': 23, '0.22': 6, '0.23': 33, '0.24': 48, '0.25': 48, '0.26': 5, '0.29': 33, '0.3': 6, '0.31': 48, '0.33': 23, '0.34': 26, '0.35': 6, '0.36': 5, '0.38': 23, '0.39': 23, '0.4': 23, '0.41': 26, '0.42': 26, '0.43': 48, '0.44': 48, '0.45': 33, '0.47': 6, '0.48': 23, '0.49': 48, '0.5': 26, '0.51': 5, '0.53': 26, '0.54': 26, '0.55': 48, '0.58': 26, '0.59': 23, '0.6': 5, '0.61': 23, '0.62': 5, '0.63': 48, '0.64': 23, '0.68': 48, '0.69': 5, '0.71': 6, '0.72': 6, '0.73': 33, '0.75': 33, '0.76': 5, '0.77': 33, '0.78': 6, '0.8': 6, '0.81': 23, '0.82': 5, '0.84': 5, '0.85': 23, '0.86': 26, '0.87': 6, '0.88': 33, '0.89': 23, '0.9': 33, '0.91': 5, '0.92': 23, '0.93': 33, '0.96': 26, '0.97': 26, '1.1': 6, '1.3': 23, '1.4': 33, '1.5': 5, '1.6': 5, '1.7': 48, '1.8': 6, '1.9': 48, '2.1': 1, '2.2': 1, '2.4': 1, '2.5': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.2': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
sqlite,1,['q8'],8,"[1, 5, 6, 8, 26, 33, 42, 48]",1,31000310.0,0.00029077691719986664,0.003128911138923623,0.0003471551515830428,0.0022197558268590473,both,"{'0.01': 5, '0.02': 6, '0.03': 26, '0.04': 5, '0.06': 33, '0.07': 5, '0.08': 5, '0.09': 5, '0.14': 48, '0.15': 6, '0.16': 6, '0.18': 8, '0.21': 42, '0.22': 6, '0.23': 33, '0.24': 8, '0.25': 8, '0.26': 42, '0.29': 33, '0.3': 6, '0.31': 48, '0.33': 8, '0.34': 26, '0.35': 6, '0.36': 5, '0.38': 42, '0.39': 42, '0.4': 5, '0.41': 26, '0.42': 26, '0.43': 48, '0.44': 48, '0.45': 33, '0.47': 8, '0.48': 8, '0.49': 48, '0.5': 42, '0.51': 5, '0.53': 26, '0.54': 8, '0.55': 48, '0.58': 26, '0.59': 8, '0.6': 5, '0.61': 8, '0.62': 5, '0.63': 42, '0.64': 26, '0.68': 48, '0.69': 42, '0.71': 6, '0.72': 6, '0.73': 33, '0.75': 33, '0.76': 5, '0.77': 42, '0.78': 8, '0.8': 6, '0.81': 48, '0.82': 5, '0.84': 5, '0.85': 42, '0.86': 42, '0.87': 42, '0.88': 33, '0.89': 42, '0.9': 33, '0.91': 5, '0.92': 8, '0.93': 8, '0.96': 26, '0.97': 26, '1.1': 6, '1.3': 33, '1.4': 33, '1.5': 5, '1.6': 5, '1.7': 48, '1.8': 6, '1.9': 48, '2.1': 1, '2.2': 1, '2.4': 1, '2.5': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.2': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
sqlite,1,['q8'],9,"[1, 5, 6, 8, 19, 23, 26, 33, 48]",1,28000240.0,0.0002261444800430878,0.0028467908902691246,0.0002087460701315683,0.0022197558268590473,both,"{'0.01': 5, '0.02': 6, '0.03': 19, '0.04': 19, '0.06': 33, '0.07': 23, '0.08': 5, '0.09': 5, '0.14': 48, '0.15': 6, '0.16': 23, '0.18': 8, '0.21': 23, '0.22': 6, '0.23': 33, '0.24': 8, '0.25': 8, '0.26': 5, '0.29': 33, '0.3': 6, '0.31': 48, '0.33': 23, '0.34': 26, '0.35': 6, '0.36': 5, '0.38': 23, '0.39': 19, '0.4': 23, '0.41': 26, '0.42': 26, '0.43': 48, '0.44': 48, '0.45': 33, '0.47': 8, '0.48': 8, '0.49': 48, '0.5': 26, '0.51': 5, '0.53': 19, '0.54': 8, '0.55': 48, '0.58': 26, '0.59': 8, '0.6': 5, '0.61': 8, '0.62': 5, '0.63': 8, '0.64': 23, '0.68': 48, '0.69': 5, '0.71': 6, '0.72': 6, '0.73': 33, '0.75': 19, '0.76': 5, '0.77': 8, '0.78': 8, '0.8': 6, '0.81': 23, '0.82': 5, '0.84': 5, '0.85': 23, '0.86': 26, '0.87': 6, '0.88': 33, '0.89': 23, '0.9': 33, '0.91': 5, '0.92': 23, '0.93': 8, '0.96': 26, '0.97': 26, '1.1': 6, '1.3': 23, '1.4': 33, '1.5': 5, '1.6': 5, '1.7': 48, '1.8': 6, '1.9': 48, '2.1': 1, '2.2': 1, '2.4': 1, '2.5': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.2': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
sqlite,1,['q8'],10,"[5, 6, 8, 19, 23, 26, 28, 33, 42, 48]",1,17000130.0,0.00012437681840230574,0.0016735128556214663,0.00021401632685282503,0.0022197558268590473,both,"{'0.01': 5, '0.02': 6, '0.03': 19, '0.04': 19, '0.06': 33, '0.07': 23, '0.08': 5, '0.09': 5, '0.14': 48, '0.15': 6, '0.16': 23, '0.18': 8, '0.21': 42, '0.22': 6, '0.23': 33, '0.24': 8, '0.25': 8, '0.26': 42, '0.29': 33, '0.3': 6, '0.31': 48, '0.33': 23, '0.34': 26, '0.35': 6, '0.36': 5, '0.38': 42, '0.39': 19, '0.4': 23, '0.41': 26, '0.42': 26, '0.43': 48, '0.44': 48, '0.45': 33, '0.47': 8, '0.48': 8, '0.49': 48, '0.5': 42, '0.51': 5, '0.53': 19, '0.54': 8, '0.55': 48, '0.58': 26, '0.59': 8, '0.6': 5, '0.61': 8, '0.62': 5, '0.63': 42, '0.64': 23, '0.68': 48, '0.69': 42, '0.71': 6, '0.72': 6, '0.73': 33, '0.75': 19, '0.76': 5, '0.77': 42, '0.78': 8, '0.8': 6, '0.81': 23, '0.82': 5, '0.84': 5, '0.85': 23, '0.86': 42, '0.87': 42, '0.88': 33, '0.89': 42, '0.9': 33, '0.91': 5, '0.92': 23, '0.93': 8, '0.96': 26, '0.97': 26, '1.1': 6, '1.3': 23, '1.4': 33, '1.5': 5, '1.6': 5, '1.7': 48, '1.8': 6, '1.9': 48, '2.1': 28, '2.2': 28, '2.4': 28, '2.5': 28, '2.7': 28, '2.8': 28, '2.9': 28, '3.2': 28, '3.4': 28, '3.5': 28, '3.6': 28, '3.7': 28, '4.1': 28, '4.2': 28, '4.3': 28, '4.4': 28, '4.5': 28, '4.6': 28, '4.9': 28, '5.1': 28, '5.2': 28, '5.3': 28, '5.4': 28, '5.5': 28, '5.6': 28, '5.7': 28, '5.8': 28, '5.9': 28}"
